FSA04748_LINE,FSA04748_LINE_NAME,RESIDUAL_FSA_BUCKET,CONTRACTUAL_FSA_BUCKET,MATURITY_DATE,ISSUE_MONTH,CONTRACTUAL_MATURITY,WEIGHTING,COUPON,Market,Start Date,Company Name,Security Name,TIDM,ISIN,Security Description, Money Raised (£m) ,Country of Incorporation,World Region,Market Segment Code,Market Segment,Market Sector Code,Trading Currency
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,02/07/2019,1,4.4,200,N/A,MAIN,21/01/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 02/07/19 SEK1000000                 ,63SX,XS1170304742,Medium Term Loans,45.01533838,Sweden,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,10/09/2018,1,3.6,147,N/A,MAIN,28/01/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FLTG RT CVD BDS 10/09/18 SEK1000000     ,60WM,XS1176580741,Medium Term Loans,40.61663576,Sweden,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,04/02/2019,3,3.9,61,N/A,MAIN,17/03/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 04/02/19 SEK1000000                 ,75VI,XS1204254046,Medium Term Loans,15.73027385,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 5 years <= 10 years,18/03/2020,3,5.0,298,N/A,MAIN,18/03/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,CVD FRN 18/03/20 SEK1000000             ,75XC,XS1204610957,Medium Term Loans,59.4868819,Sweden,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,10/09/2018,3,3.4,355,N/A,MAIN,31/03/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,VAR CVD BDS 10/09/18 SEK1000000         ,76HR,XS1211568065,Medium Term Loans,102.8386475,Sweden,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,18/03/2020,4,4.9,116,N/A,MAIN,17/04/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,CVD FRN 18/03/20 SEK1000000             ,76ZD,XS1219723282,Medium Term Loans,23.62851022,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,25/04/2019,5,3.9,61,N/A,MAIN,26/05/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 25/04/19 SEK1000000                 ,81QD,XS1237523094,Medium Term Loans,15.486748,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
43,Covered bonds,> 5 years <= 10 years,> 10 years,27/05/2025,5,10.0,155,1.66%,MAIN,27/05/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,1.655% CVD NTS 27/05/25 SEK1000000      ,82DA,XS1238248816,Medium Term Loans,15.43757815,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
43,Covered bonds,> 5 years <= 10 years,> 10 years,10/06/2025,6,10.0,549,0.93%,MAIN,10/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,0.929% CVD BDS 10/06/25 EUR100000       ,83XD,XS1244085715,Medium Term Loans,54.88072589,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
43,Covered bonds,> 5 years <= 10 years,> 5 years <= 10 years,17/06/2022,6,7.0,25,0.75%,MAIN,17/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,0.75% CVD NTS 17/06/22 EUR100000        ,67YX,XS1248348721,Medium Term Loans,3.592776409,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,NIDW,EUR
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,10/09/2018,6,3.2,499,N/A,MAIN,24/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FR CVD BDS 10/09/18 SEK1000000          ,87XS,XS1251621006,Medium Term Loans,155.0848245,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,02/07/2019,6,4.0,155,N/A,MAIN,25/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 02/07/19 SEK1000000                 ,68DE,XS1251835903,Medium Term Loans,38.46278868,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 10 years,> 10 years,28/06/2027,6,12.0,185,2.25%,MAIN,25/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,2.25% NTS 28/06/27 SEK1000000           ,87XY,XS1251915416,Medium Term Loans,15.35837287,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,29/06/2018,6,3.0,220,N/A,MAIN,29/06/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 29/06/18 SEK1000000                 ,87ZW,XS1252223588,Medium Term Loans,73.19252128,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,09/07/2018,7,3.0,77,N/A,MAIN,09/07/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FR CVD NTS 09/07/18 USD200000           ,89NC,XS1257780384,Medium Term Loans,25.6016385,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,USD
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,18/03/2020,7,4.7,535,N/A,MAIN,08/07/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FR CVD NTS 18/03/20 SEK1000000          ,88WF,XS1259512108,Medium Term Loans,113.8022747,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,29/06/2018,9,2.8,66,N/A,MAIN,09/09/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,FRN 29/06/18 SEK1000000                 ,94VB,XS1288365270,Medium Term Loans,23.52467678,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,SEK
40,Senior securities,> 10 years,> 10 years,22/09/2031,9,16.0,386,1.46%,MAIN,22/09/2015,AB SVERIGES SAKERSTALLDA OBLIGATION,1.459% NTS 22/09/31 EUR100000           ,12VS,XS1293570021,Medium Term Loans,24.08407532,Sweden,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
42,Structured notes,> 2 weeks <= 1 month,> 6 months <= 1 year,07/12/2015,3,0.7,3,N/A,MAIN,12/03/2015,ABBEY NATIONAL TREASURY SERVS PLC,AUTOCALL WTS 07/12/15(FTSE 100 IDX)     ,62FA,GB00B43GXS14,Medium Term Loans,4.2,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
40,Senior securities,> 5 years <= 10 years,> 5 years <= 10 years,14/01/2022,1,7.0,"8,137",1.13%,MAIN,14/01/2015,ABBEY NATIONAL TREASURY SERVS PLC,1.125% NTS 14/01/22 EUR100000           ,50JD,XS1166160173,Medium Term Loans,1161.470799,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 2 years <= 5 years,23/01/2017,1,2.0,905,0.28%,MAIN,23/01/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 23/01/17 EUR100000                  ,64ZJ,XS1172406818,Medium Term Loans,452.1138944,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 1 year <= 2 years,23/01/2017,2,1.9,939,0.36%,MAIN,12/02/2015,ABBEY NATIONAL TREASURY SERVS PLC,FLTG RTE NTS 23/01/17 EUR100000         ,54KV,XS1189343269,Medium Term Loans,482.0485468,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 5 years <= 10 years,17/02/2020,2,5.0,"3,736",1.88%,MAIN,17/02/2015,ABBEY NATIONAL TREASURY SERVS PLC,1.875% NTS 17/02/20 GBP100000           ,63SU,XS1190294063,Medium Term Loans,746.7975,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
40,Senior securities,> 5 years <= 10 years,> 10 years,10/03/2025,3,10.0,"7,163",1.13%,MAIN,10/03/2015,ABBEY NATIONAL TREASURY SERVS PLC,1.125% NTS 10/03/25 EUR100000           ,75JA,XS1199439222,Medium Term Loans,715.6811783,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
43,Covered bonds,> 5 years <= 10 years,> 5 years <= 10 years,21/04/2022,4,7.0,"5,010",0.25%,MAIN,21/04/2015,ABBEY NATIONAL TREASURY SERVS PLC,0.25% CVD BDS 21/04/22 EUR100000        ,77LB,XS1220923996,Medium Term Loans,715.2184868,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
43,Covered bonds,> 2 years <= 5 years,> 2 years <= 5 years,29/05/2019,5,4.0,"2,001",0.81%,MAIN,29/05/2015,ABBEY NATIONAL TREASURY SERVS PLC,FR CVD BDS 29/05/19 GBP100000           ,83BT,XS1238066622,Medium Term Loans,500,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP
40,Senior securities,> 5 years <= 10 years,> 5 years <= 10 years,05/06/2021,6,6.0,253,2.45%,MAIN,05/06/2015,ABBEY NATIONAL TREASURY SERVS PLC,2.45% NTS 05/06/21 NOK1000000           ,83LW,XS1240300217,Medium Term Loans,42.11554822,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,NOK
40,Senior securities,> 1 year <= 2 years,> 2 years <= 5 years,11/08/2017,8,2.0,425,0.43%,MAIN,11/08/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 11/08/17 EUR100000                  ,93AA,XS1274152690,Medium Term Loans,212.2211254,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,22/05/2019,8,3.8,"1,066",0.60%,MAIN,13/08/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 22/05/19 EUR100000                  ,93BB,XS1275283494,Medium Term Loans,282.3240728,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 2 years <= 5 years,> 2 years <= 5 years,13/08/2019,8,4.0,142,0.68%,MAIN,13/08/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 13/08/19 EUR100000                  ,93BW,XS1275875232,Medium Term Loans,35.39698209,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 2 years <= 5 years,11/08/2017,8,2.0,71,0.43%,MAIN,20/08/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 11/08/17 EUR100000                  ,93FY,XS1278758047,Medium Term Loans,35.83916833,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 1 year <= 2 years,11/08/2017,8,2.0,163,0.43%,MAIN,25/08/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 11/08/17 EUR100000                  ,93MO,XS1280368223,Medium Term Loans,83.04718543,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 1 year <= 2 years,11/08/2017,9,1.9,50,0.43%,MAIN,02/09/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 11/08/17 EUR100000                  ,94FU,XS1283949409,Medium Term Loans,25.70587159,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 1 year <= 2 years,> 1 year <= 2 years,11/08/2017,9,1.9,138,0.43%,MAIN,25/09/2015,ABBEY NATIONAL TREASURY SERVS PLC,FRN 11/08/17 EUR100000                  ,32RX,XS1297587757,Medium Term Loans,73.23675376,UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR
40,Senior securities,> 5 years <= 10 years,> 5 years <= 10 years,22/11/2022,5,7.5,"2,706",1.50%,MAIN,22/05/2015,ADECCO INTERNATIONAL FIN SRVS B.V,1.5% NTS 22/11/22 EUR100000             ,81IJ,XS1237184533,Medium Term Loans,360.3483089,Netherlands,Europe,CWNR,CORPORATE WSALE.DBT.REG.MKT.,EIDW,EUR
