ISIN,PRA_ITEM_4748,SECURITY_NAME,COUPON_RATE,3M_LIBOR,SPREAD,COUPON,COMPANY_NAME,COMPANY_PARENT,ICB_INDUSTRY,INDEX,SECURITY_START_DATE,MATURITY_DATE,DURATION,CURRENT_ISSUANCE,COMPANY_RANK,TIDM,SECURITY_DESCRIPTION,WEIGHTED_AVG,MONEY_RAISED_GBP,COUNTRY_OF_INCORPORATION,WORLD_REGION,MARKET_SEGMENT_CODE,MARKET_SEGMENT,MARKET_SECTOR_CODE,PARENT_CURRENCY,TRADING_CURRENCY
XS0622451663,40, 8.31% BULLET NTS 10/05/21 NZD200000    ,8.31%,n/a,n/a,Y,ROYAL BANK OF SCOTLAND PLC,ROYAL BANK SCOT,Financials,FTSE 100,10/05/2011,10/05/2021,10,N,13,47FP,Medium Term Loans,#VALUE!,"9,767,526",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,OTH,NZD
GB00B7FN8861,42, WTS LKD NTS 16/11/17 GBP1              ,n/a,1.09%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,20/12/2011,16/11/2017,6,N,3,48KP,Medium Term Loans,#VALUE!,"10,000,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,GBP,GBP
XS0251440078,42,0% CALL CDT LKD NTS(BAA)27/04/46 EUR    ,n/a,3.08%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,12/07/2006,27/04/2046,40,N,8,74FJ,Medium Term Loans,#VALUE!,"2,063,101",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0180454430,42,0% CALL NOTES 1/12/33 EUR1000000        ,n/a,2.16%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,01/12/2003,01/12/2033,30,13,6,52EX,Medium Term Loans,#VALUE!,"13,987,970",UK,Europe,MISC,MISCELLANEOUS (NON QUOTED),DIPS,EUR,EUR
XS0180168006,42,0% CALL NOTES 17/11/23 USD100000        ,n/a,1.08%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,17/11/2003,17/11/2023,20,13,6,72SU,Medium Term Loans,#VALUE!,"23,632,981",UK,Europe,MISC,MISCELLANEOUS (NON QUOTED),DIPS,USD,USD
XS1212681081,42,0% CALL NTS 02/04/45 USD1000000         ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,02/04/2015,02/04/2045,30,1,6,76LN,Medium Term Loans,#VALUE!,"33,613,445",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1212706250,42,0% CALL NTS 02/04/45 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,02/04/2015,02/04/2045,30,1,6,76LQ,Medium Term Loans,#VALUE!,"20,168,067",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1213638791,42,0% CALL NTS 02/04/45 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,02/04/2015,02/04/2045,30,1,6,76LE,Medium Term Loans,#VALUE!,"20,168,067",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1102846323,42,0% CALL NTS 02/09/44 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,02/09/2014,02/09/2044,30,2,6,54DQ,Medium Term Loans,#VALUE!,"18,146,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0230604422,42,0% CALL NTS 03/10/35 USD100000          ,n/a,3.96%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,04/10/2005,03/10/2035,30,11,8,36IU,Medium Term Loans,#VALUE!,"11,172,248",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0514749968,42,0% CALL NTS 07/06/40 USD10000           ,n/a,0.46%,n/a,N,ROYAL BANK OF SCOTLAND PLC,ROYAL BANK SCOT,Financials,FTSE 100,07/06/2010,07/06/2040,30,6,13,77VB,Medium Term Loans,#VALUE!,"6,030,063",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0259324639,42,0% CALL NTS 07/07/26 EUR50000           ,n/a,3.94%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,04/04/2007,07/07/2026,19,9,8,50JL,Medium Term Loans,#VALUE!,"3,395,251",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0545456815,42,0% CALL NTS 07/10/30 USD1000000 4140    ,n/a,0.25%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,07/10/2010,07/10/2030,20,6,6,94WP,Medium Term Loans,#VALUE!,"15,659,750",UK,Europe,CRTR,CORP.RETAIL DEBT REG.MKT.TD/RP,UIDR,USD,USD
XS0343895511,42,0% CALL NTS 08/02/38 USD1000000         ,n/a,3.09%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,08/02/2008,08/02/2038,30,8,6,96GW,Medium Term Loans,#VALUE!,"5,121,300",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0545960907,42,0% CALL NTS 08/10/30 USD100000 4146     ,n/a,0.25%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,08/10/2010,08/10/2030,20,6,6,61ZJ,Medium Term Loans,#VALUE!,"18,791,700",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0234093051,42,0% CALL NTS 08/11/35 USD1000000         ,n/a,2.78%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,26/08/2008,08/11/2035,27,8,8,51ER,Medium Term Loans,#VALUE!,"8,170,650",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0872911622,42,0% CALL NTS 09/01/43 EUR100000          ,n/a,0.22%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,20/02/2013,09/01/2043,30,3,6,19YW,Medium Term Loans,#VALUE!,"56,764,847",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0968991819,42,0% CALL NTS 09/09/43 USD200000          ,n/a,0.10%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,09/09/2013,09/09/2043,30,3,6,80HC,Medium Term Loans,#VALUE!,"12,752,800",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0728943670,42,0% CALL NTS 11/01/42 USD100000          ,n/a,0.39%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,11/01/2012,11/01/2042,30,4,6,48TV,Medium Term Loans,#VALUE!,"194,604,236",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1084368833,42,0% CALL NTS 11/07/44 USD200000          ,n/a,0.11%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,11/07/2014,11/07/2044,30,2,6,69GQ,Medium Term Loans,#VALUE!,"17,523,300",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0979488367,42,0% CALL NTS 11/10/43 USD1000000         ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,11/10/2013,11/10/2043,30,3,6,15VR,Medium Term Loans,#VALUE!,"15,645,750",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0728943753,42,0% CALL NTS 12/01/42 USD100000          ,n/a,0.14%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,12/01/2012,12/01/2042,30,4,6,63CP,Medium Term Loans,#VALUE!,"1,954,404",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0314778241,42,0% CALL NTS 13/08/37 EUR100000          ,n/a,4.51%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,13/08/2007,13/08/2037,30,9,6,42HO,Medium Term Loans,#VALUE!,"871,585",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0898439871,42,0% CALL NTS 16/05/33 AUD100000          ,n/a,n/a,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,16/05/2013,16/05/2033,20,3,3,50DY,Medium Term Loans,#VALUE!,"9,666,500",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,AUD,AUD
XS1074398972,42,0% CALL NTS 16/06/44 USD200000          ,n/a,0.10%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,16/06/2014,16/06/2044,30,2,6,37NZ,Medium Term Loans,#VALUE!,"35,356,200",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0951757912,42,0% CALL NTS 16/07/43 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,16/07/2013,16/07/2043,30,3,6,13AO,Medium Term Loans,#VALUE!,"13,253,600",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1107554732,42,0% CALL NTS 16/09/44 USD200000          ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,17/09/2014,16/09/2044,30,2,6,55EI,Medium Term Loans,#VALUE!,"12,250,600",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0979060687,42,0% CALL NTS 16/10/43 USD1000000         ,n/a,0.26%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,16/10/2013,16/10/2043,30,3,6,89YE,Medium Term Loans,#VALUE!,"12,475,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1075632452,42,0% CALL NTS 17/06/44 USD1000000         ,n/a,0.10%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,17/06/2014,17/06/2044,30,2,6,50JM,Medium Term Loans,#VALUE!,"35,350,800",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0953563896,42,0% CALL NTS 17/07/33 AUD1000000         ,n/a,n/a,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,17/07/2013,17/07/2033,20,3,6,13KI,Medium Term Loans,#VALUE!,"3,023,717",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,AUD,AUD
XS1108775872,42,0% CALL NTS 18/09/44 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,18/09/2014,18/09/2044,30,2,6,44YV,Medium Term Loans,#VALUE!,"18,372,300",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1288547117,42,0% CALL NTS 18/09/45 USD1000000         ,n/a,0.30%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,18/09/2015,18/09/2045,30,1,6,10JA,Medium Term Loans,#VALUE!,"19,451,469",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1110362768,42,0% CALL NTS 19/09/44 USD1000000         ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,19/09/2014,19/09/2044,30,2,6,44VS,Medium Term Loans,#VALUE!,"18,359,100",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1110320337,42,0% CALL NTS 19/09/44 USD1000000         ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,19/09/2014,19/09/2044,30,2,6,44WE,Medium Term Loans,#VALUE!,"12,239,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1120552077,42,0% CALL NTS 21/10/44 USD1000000         ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,21/10/2014,21/10/2044,30,2,6,38UC,Medium Term Loans,#VALUE!,"185,709,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1120989501,42,0% CALL NTS 21/10/44 USD200000          ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,21/10/2014,21/10/2044,30,2,6,38UE,Medium Term Loans,#VALUE!,"12,380,600",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0898451819,42,0% CALL NTS 22/05/43 USD1000000         ,n/a,0.13%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,22/05/2013,22/05/2043,30,3,3,71ZT,Medium Term Loans,#VALUE!,"13,243,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1169188627,42,0% CALL NTS 23/01/45 USD1000000         ,n/a,0.14%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,23/01/2015,23/01/2045,30,1,6,64TP,Medium Term Loans,#VALUE!,"210,215,250",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0602952631,42,0% CALL NTS 23/06/41 USD100000          ,n/a,0.18%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,24/06/2011,23/06/2041,30,5,3,80GP,Medium Term Loans,#VALUE!,"31,128,500",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1291944137,42,0% CALL NTS 23/09/45 USD200000          ,n/a,0.28%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,23/09/2015,23/09/2045,30,1,6,13DA,Medium Term Loans,#VALUE!,"19,173,004",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0549976040,42,0% CALL NTS 24/02/32 USD100000          ,n/a,0.18%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,24/02/2012,24/02/2032,20,4,3,42GT,Medium Term Loans,#VALUE!,"63,619,920",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1061668205,42,0% CALL NTS 24/04/44 USD200000          ,n/a,0.10%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,24/04/2014,24/04/2044,30,2,6,32CB,Medium Term Loans,#VALUE!,"26,797,950",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0602956384,42,0% CALL NTS 24/06/41 USD100000          ,n/a,0.18%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,24/06/2011,24/06/2041,30,5,3,80GU,Medium Term Loans,#VALUE!,"31,128,500",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0954702386,42,0% CALL NTS 25/07/43 USD200000          ,n/a,0.12%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,25/07/2013,25/07/2043,30,3,6,14PS,Medium Term Loans,#VALUE!,"13,084,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0548363091,42,0% CALL NTS 25/10/41 USD                ,n/a,0.25%,n/a,N,BARCLAYS BANK PLC,BARCLAYS,Financials,FTSE 100,25/10/2011,25/10/2041,30,5,3,13TR,Medium Term Loans,#VALUE!,"12,420,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0257919679,42,0% CALL NTS 26/06/22 EUR50000           ,n/a,3.94%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,04/04/2007,26/06/2022,15,9,8,50JV,Medium Term Loans,#VALUE!,"3,395,251",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0229997456,42,0% CALL NTS 26/09/35 USD100000          ,n/a,2.76%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,29/07/2008,26/09/2035,27,8,8,92ED,Medium Term Loans,#VALUE!,"10,091,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0312189003,42,0% CALL NTS 27/07/37 EUR100000          ,n/a,4.25%,n/a,N,HBOS TREASURY SERVICES PLC,LLOYDS GRP.,Financials,FTSE 100,27/07/2007,27/07/2037,30,9,148,33ZI,Medium Term Loans,#VALUE!,"5,715,826",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS1278724148,42,0% CALL NTS 27/08/45 USD200000          ,n/a,0.28%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,27/08/2015,27/08/2045,30,1,6,93XQ,Medium Term Loans,#VALUE!,"19,142,420",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0998596364,42,0% CALL NTS 29/11/43 USD200000          ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,29/11/2013,29/11/2043,30,3,6,17GM,Medium Term Loans,#VALUE!,"12,236,400",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1172185388,42,0% CALL NTS 30/01/45 USD200000          ,n/a,0.15%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,30/01/2015,30/01/2045,30,1,6,50SF,Medium Term Loans,#VALUE!,"19,932,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1111687767,42,0% CALLABLE NTS 03/10/44 USD1000000     ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,03/10/2014,03/10/2044,30,2,6,86GM,Medium Term Loans,#VALUE!,"155,605,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0547093400,42,0% CALLABLE NTS 14/10/30 USD100000      ,n/a,0.25%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,14/10/2010,14/10/2030,20,6,6,45NA,Medium Term Loans,#VALUE!,"12,583,800",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0278661664,42,0% CALLABLE NTS 15/12/51 EUR1000000     ,n/a,3.70%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,19/12/2006,15/12/2051,45,10,8,91GD,Medium Term Loans,#VALUE!,"2,704,801",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS1100996146,42,0% CALLABLE NTS 26/08/44 USD200000      ,n/a,0.13%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,26/08/2014,26/08/2044,30,2,6,59YQ,Medium Term Loans,#VALUE!,"12,068,600",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1062605750,42,0% CALLABLE NTS 28/04/44 USD1000000     ,n/a,0.09%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,30/05/2014,28/04/2044,30,2,6,49RD,Medium Term Loans,#VALUE!,"29,878,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1062903858,42,0% CALLABLE NTS 28/04/44 USD200000      ,n/a,0.09%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,30/05/2014,28/04/2044,30,2,6,49RE,Medium Term Loans,#VALUE!,"29,878,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1062905713,42,0% CALLABLE NTS 28/04/44 USD200000      ,n/a,0.09%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,30/05/2014,28/04/2044,30,2,6,49RC,Medium Term Loans,#VALUE!,"29,878,000",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0249826297,42,0% CAP & FLOORED CALL NTS 24/04/36 EUR  ,n/a,2.78%,n/a,N,ROYAL BANK OF SCOTLAND PLC,ROYAL BANK SCOT,Financials,FTSE 100,24/04/2006,24/04/2036,30,10,13,41CW,Medium Term Loans,#VALUE!,"27,286,620",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0261655475,42,0% CDT LKD NTS 26/7/46(DEUT TELECOM)EUR ,n/a,4.96%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,29/07/2008,26/07/2046,38,8,8,92EH,Medium Term Loans,#VALUE!,"3,143,885",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS0251255252,42,0% CDT LKD NTS(KAUPTHING BK)20/4/46 EUR ,n/a,3.08%,n/a,N,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,12/07/2006,20/04/2046,40,10,8,74FK,Medium Term Loans,#VALUE!,"2,063,101",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,EUR,EUR
XS1207677045,42,0% CLBL NTS 27/03/45 USD200000          ,n/a,0.15%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,27/03/2015,27/03/2045,30,1,6,66WB,Medium Term Loans,#VALUE!,"16,831,617",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS1207680932,42,0% CLBL NTS 27/03/45 USD200000          ,n/a,0.15%,n/a,N,LLOYDS BANK PLC,LLOYDS GRP.,Financials,FTSE 100,27/03/2015,27/03/2045,30,1,6,66WI,Medium Term Loans,#VALUE!,"16,831,617",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
XS0780251582,40,0% MTN 17/05/32 USD100000               ,0.00%,0.20%,n/a,Y,HSBC BANK PLC,HSBC HLDGS.UK,Financials,FTSE 100,17/05/2012,17/05/2032,20,4,8,22LY,Medium Term Loans,#VALUE!,"24,915,161",UK,Europe,CWTR,CORPORATE WSALE.DBT.REG.MKT.TR,UIDW,USD,USD
